AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2022;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;0;EN RECUPERACION;1;406;375;57;49;424
2022;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;61;61;64;64;125
2022;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;151;15101;ARICA;151;ARICA;6;5;1;1;0;0;SIN SEP;1;10;0;1;0;0
2022;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;608;608;292;292;900
2022;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;381;368;242;234;602
2022;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;855;855;205;205;1060
2022;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;381;381;132;132;513
2022;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;679;679;497;497;1176
2022;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EN RECUPERACION;1;108;108;26;26;134
2022;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;252;252;35;35;287
2022;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;213;213;83;83;296
2022;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;184;184;31;31;215
2022;14;0;ESCUELA ROMULO J. PENA MATURANA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;221;221;30;30;251
2022;15;9;LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;171;171;149;149;320
2022;16;7;ESCUELA REGIMIENTO RANCAGUA;15;151;15101;ARICA;151;ARICA;6;5;0;1;1;2020;EMERGENTE;1;156;156;48;48;204
